ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,ID_PP,DESC_PP,ID_ODS,DESC_ODS,ID_METAODS,DESC_METAODS,ID_SM1,DESC_SM1,ID_SM2,DESC_SM2,ID_SM3,DESC_SM3,ID_SM4,DESC_SM4,ID_SM5,DESC_SM5,ID_SM6,DESC_SM6,ID_TCONTRIBUCION,DESC_TCONTRIBUCION,colour
13,Marina,A,Funciones de las Fuerzas Armadas,1,Emplear el Poder Naval de la Federacin para salvaguardar la soberana y seguridad nacionales,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",5,"Para 2030, reducir de forma significativa el nmero de muertes y de personas afectadas por los desastres, incluidos los relacionados con el agua, y reducir sustancialmente las prdidas econmicas directas vinculadas al producto interno bruto mundial causadas por los desastres, haciendo especial hincapi en la proteccin de los pobres y las personas en situaciones vulnerables.",2,Reduccin de muertes y personas afectadas,2,Reduccin de prdidas econmicas,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#FD9D24
14,Trabajo y Previsin Social,E,Prestacin de Servicios Pblicos,2,Procuracin de justicia laboral,8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",8,"Proteger los derechos laborales y promover un entorno de trabajo seguro y protegido para todos los trabajadores, incluidos los trabajadores migrantes, en particular las mujeres migrantes y las personas con empleos precarios",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
14,Trabajo y Previsin Social,E,Prestacin de Servicios Pblicos,3,Ejecucinde los programas y acciones de la Poltica Laboral,8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",5,"Para 2030, lograr el empleo pleno y productivo y garantizar un trabajo decente para todos los hombres y mujeres, incluidos los jvenes y las personas con discapacidad, y la igualdad de remuneracin por trabajo de igual valor",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
14,Trabajo y Previsin Social,E,Prestacin de Servicios Pblicos,4,Capacitacin para Incrementar la Productividad,8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",5,"Para 2030, lograr el empleo pleno y productivo y garantizar un trabajo decente para todos los hombres y mujeres, incluidos los jvenes y las personas con discapacidad, y la igualdad de remuneracin por trabajo de igual valor",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
14,Trabajo y Previsin Social,O,Apoyo a la funcin pblica y al mejoramiento de la gestin,1,Actividades de apoyo a la funcin pblica y buen gobierno,16,"Promover sociedades pacficas e inclusivas para el desarrollo sostenible, facilitar el acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas a todos los niveles",6,"Crear instituciones eficaces, responsables y transparentes a todos los niveles",2,Instituciones eficaces,2,Instituciones responsables,2,Instituciones transparentes,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#00689D
14,Trabajo y Previsin Social,P,"Planeacin, seguimiento y evaluacin de polticas pblicas",1,Instrumentacin de la poltica laboral,8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",5,"Para 2030, lograr el empleo pleno y productivo y garantizar un trabajo decente para todos los hombres y mujeres, incluidos los jvenes y las personas con discapacidad, y la igualdad de remuneracin por trabajo de igual valor",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
14,Trabajo y Previsin Social,S,Sujetos a Reglas de Operacin,43,Programa de Apoyo al Empleo (PAE),8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",12,"Para 2020, desarrollar y poner en marcha una estrategia mundial para el empleo de los jvenes y aplicar el Pacto Mundial para el Empleo de la Organizacin Internacional del Trabajo",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
14,Trabajo y Previsin Social,S,Sujetos a Reglas de Operacin,43,Programa de Apoyo al Empleo (PAE),8,"Promover el crecimiento econmico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo decente para todos.",5,"Para 2030, lograr el empleo pleno y productivo y garantizar un trabajo decente para todos los hombres y mujeres, incluidos los jvenes y las personas con discapacidad, y la igualdad de remuneracin por trabajo de igual valor",1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,No aplica,1,1-Contribucin Directa,#A21942
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,3,Ordenamiento y regulacin de la propiedad rural,1,Poner fin a la pobreza en todas sus formas en todo el mundo,4,"Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos econmicos, as como acceso a los servicios bsicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologas apropiadas y los servicios financieros, incluida la microfinanciacin",2,Acceso a recursos econmicos,2,Acceso a servicios bsicos,2,"Derecho a la propiedad, herencia, el control de las tierras y otros bienes",2,Acceso a recursos naturales,2,Acceso a nuevas tecnologas,2,Acceso a servicios financieros incluyendo microfinanciamiento,2,2-Contribucin Indirecta,#E5243B
15,"Desarrollo Agrario, Territorial y Urbano",E,Prestacin de Servicios Pblicos,3,Ordenamiento y regulacin de la propiedad rural,11,"Lograr que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles.",3,"Para 2030, aumentar la urbanizacin inclusiva y sostenible y la capacidad para una planificacin y gestin participativas, integradas y sostenibles de los asentamientos humanos en todos los pases",2,Capacidad de planificacin,2,Capacidad de gestin,1,No aplica,1,No aplica,1,No aplica,1,No aplica,2,2-Contribucin Indirecta,#FD9D24
